Title,Latitude,Longitude,Date,Elevation,site_no,Mean Water Temp (C),Mean Specific Conductance,Turbidity (FNU),pH,normalized_turbidity,normalized_water_temp,normalized_specific_conductance,distance_from_mean,normalized_pH,cwi,cwi_100
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1095220.0,11.0,166.0,,7.544008682361227,,4.334661354581673,0.6188247529901196,0.0459051466752216,9.818125743747908,4.839697865317297,43
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1095375.0,10.4,243.0,,6.706869688941757,,4.1195219123505975,1.0192407696307852,0.7912338467442481,6.838583086106411,4.010601921218028,33
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1095434.0,8.8,1020.0,,9.004108026289037,,3.545816733067729,5.059802392095683,1.506004490603032,3.981199996457656,4.102779282329982,34
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1100568.0,10.2,,,8.965116160843321,,4.047808764940239,,1.4670126251573157,4.137074748611665,4.08351515840881,34
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104370.0,11.1,287.0,,7.1710228894941,,4.370517928286853,1.24804992199688,0.3270806461919049,8.694092287078352,4.713691171858718,41
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104405.0,9.5,353.0,,6.458262328264487,,3.796812749003984,1.5912636505460218,1.0398412074215182,5.844744748641356,3.751779292198101,31
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104410.0,9.4,1270.0,,5.903274013124667,,3.760956175298805,6.359854394175767,1.594829522561338,3.6261110648740047,4.464971349142281,38
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104415.0,9.5,,,7.047210675007763,,3.796812749003984,,0.4508928606782421,8.199137813213419,5.557742774687759,51
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104420.0,10.5,1560.0,,6.793428060152195,,4.155378486055778,7.867914716588663,0.7046754755338105,7.184610764060555,6.0815980599236825,56
"""The Big Dig (Central Artery/Tunnel Project) Completion""",42.3601,-71.0589,2023-04-19,10.43025493621826,1104430.0,10.3,880.0,,8.039941312420138,,4.083665338645419,4.331773270930837,0.5418377767341331,7.835574385615558,5.226527332718437,47
